#complex,groundtruth
#2-variable linear MBA expression
-x-1,~x
-1*(~(x^(1*(a&b)-6*(a&~b)+7*(a^b)-1*~(a&b)+1*~(a|b)-5*~(a|~b))))-1*(x^(1*(a&b)-6*(a&~b)+7*(a^b)-1*~(a&b)+1*~(a|b)-5*~(a|~b)))-1*(~(x&(1*(a&b)-6*(a&~b)+7*(a^b)-1*~(a&b)+1*~(a|b)-5*~(a|~b))))-2*(1*(a&b)-6*(a&~b)+7*(a^b)-1*~(a&b)+1*~(a|b)-5*~(a|~b))-1*(x|(1*(a&b)-6*(a&~b)+7*(a^b)-1*~(a&b)+1*~(a|b)-5*~(a|~b)))-1*(x|~(1*(a&b)-6*(a&~b)+7*(a^b)-1*~(a&b)+1*~(a|b)-5*~(a|~b)))+2*x+2*(~(x|(1*(a&b)-6*(a&~b)+7*(a^b)-1*~(a&b)+1*~(a|b)-5*~(a|~b))))+4*(~(x|~(1*(a&b)-6*(a&~b)+7*(a^b)-1*~(a&b)+1*~(a|b)-5*~(a|~b))))+1*(x&~(1*(a&b)-6*(a&~b)+7*(a^b)-1*~(a&b)+1*~(a|b)-5*~(a|~b)))+2*(x&(1*(a&b)-6*(a&~b)+7*(a^b)-1*~(a&b)+1*~(a|b)-5*~(a|~b))),-(~(x&~x)),(1*(a&b)-6*(a&~b)+7*(a^b)-1*~(a&b)+1*~(a|b)-5*~(a|~b))
-2*(~((-2*(a&b)-4*(a&~b)+3*~(a^b)-8*~(a|b)+5*~b)&~y))-1*~(-2*(a&b)-4*(a&~b)+3*~(a^b)-8*~(a|b)+5*~b)-1*(~((-2*(a&b)-4*(a&~b)+3*~(a^b)-8*~(a|b)+5*~b)&y))+(~((-2*(a&b)-4*(a&~b)+3*~(a^b)-8*~(a|b)+5*~b)&~(-2*(a&b)-4*(a&~b)+3*~(a^b)-8*~(a|b)+5*~b)))-2*((-2*(a&b)-4*(a&~b)+3*~(a^b)-8*~(a|b)+5*~b)^y)+(-2*(a&b)-4*(a&~b)+3*~(a^b)-8*~(a|b)+5*~b)+5*(~((-2*(a&b)-4*(a&~b)+3*~(a^b)-8*~(a|b)+5*~b)|y))+6*(~((-2*(a&b)-4*(a&~b)+3*~(a^b)-8*~(a|b)+5*~b)|~y))+2*((-2*(a&b)-4*(a&~b)+3*~(a^b)-8*~(a|b)+5*~b)&~y)+3*((-2*(a&b)-4*(a&~b)+3*~(a^b)-8*~(a|b)+5*~b)&y),1*(a|y)+2*(~(a^y)),(-2*(a&b)-4*(a&~b)+3*~(a^b)-8*~(a|b)+5*~b)
-5*~(1*(a&b)-5*(a|~b)+5*~(a&~a)-4*~(a|~b))+(x^(1*(a&b)-5*(a|~b)+5*~(a&~a)-4*~(a|~b)))+(x|~(1*(a&b)-5*(a|~b)+5*~(a&~a)-4*~(a|~b)))-1*(x|(1*(a&b)-5*(a|~b)+5*~(a&~a)-4*~(a|~b)))-2*(~(x&~(1*(a&b)-5*(a|~b)+5*~(a&~a)-4*~(a|~b))))+2*(~(x&~x))+(1*(a&b)-5*(a|~b)+5*~(a&~a)-4*~(a|~b))+4*(~(x^(1*(a&b)-5*(a|~b)+5*~(a&~a)-4*~(a|~b))))+(~(x&(1*(a&b)-5*(a|~b)+5*~(a&~a)-4*~(a|~b))))-1*(~(x|(1*(a&b)-5*(a|~b)+5*~(a&~a)-4*~(a|~b))))-2*(~(x|~(1*(a&b)-5*(a|~b)+5*~(a&~a)-4*~(a|~b))))-6*(x&(1*(a&b)-5*(a|~b)+5*~(a&~a)-4*~(a|~b))),-x,(1*(a&b)-5*(a|~b)+5*~(a&~a)-4*~(a|~b))
-2*((1*(a&b)+2*(a&~b)-1*~(a&~a)+1*~(a&~b))|y)+y+(~((1*(a&b)+2*(a&~b)-1*~(a&~a)+1*~(a&~b))&y))-1*(~((1*(a&b)+2*(a&~b)-1*~(a&~a)+1*~(a&~b))^y))+(~((1*(a&b)+2*(a&~b)-1*~(a&~a)+1*~(a&~b))&~y))+(~((1*(a&b)+2*(a&~b)-1*~(a&~a)+1*~(a&~b))&~(1*(a&b)+2*(a&~b)-1*~(a&~a)+1*~(a&~b))))-1*(~((1*(a&b)+2*(a&~b)-1*~(a&~a)+1*~(a&~b))|y))-1*(~((1*(a&b)+2*(a&~b)-1*~(a&~a)+1*~(a&~b))|~y))-1*((1*(a&b)+2*(a&~b)-1*~(a&~a)+1*~(a&~b))&~y)-1*((1*(a&b)+2*(a&~b)-1*~(a&~a)+1*~(a&~b))&y),1*~a-a,(1*(a&b)+2*(a&~b)-1*~(a&~a)+1*~(a&~b))
-1*(~(x&~x))-5*x-1*(~(x^(7*(a&b)-1*(a&~b)+1*(a^b)-6*~(a&~b)+6*~(a|b)+6*~(a|~b))))-1*(x|~(7*(a&b)-1*(a&~b)+1*(a^b)-6*~(a&~b)+6*~(a|b)+6*~(a|~b)))+(~(x&(7*(a&b)-1*(a&~b)+1*(a^b)-6*~(a&~b)+6*~(a|b)+6*~(a|~b))))+~(7*(a&b)-1*(a&~b)+1*(a^b)-6*~(a&~b)+6*~(a|b)+6*~(a|~b))+(x|(7*(a&b)-1*(a&~b)+1*(a^b)-6*~(a&~b)+6*~(a|b)+6*~(a|~b)))-1*(7*(a&b)-1*(a&~b)+1*(a^b)-6*~(a&~b)+6*~(a|b)+6*~(a|~b))-1*(x^(7*(a&b)-1*(a&~b)+1*(a^b)-6*~(a&~b)+6*~(a|b)+6*~(a|~b)))-1*(~(x|(7*(a&b)-1*(a&~b)+1*(a^b)-6*~(a&~b)+6*~(a|b)+6*~(a|~b))))-1*(~(x|~(7*(a&b)-1*(a&~b)+1*(a^b)-6*~(a&~b)+6*~(a|b)+6*~(a|~b))))+5*(x&~(7*(a&b)-1*(a&~b)+1*(a^b)-6*~(a&~b)+6*~(a|b)+6*~(a|~b)))+6*(x&(7*(a&b)-1*(a&~b)+1*(a^b)-6*~(a&~b)+6*~(a|b)+6*~(a|~b))),-2*(~(x&~b)),(7*(a&b)-1*(a&~b)+1*(a^b)-6*~(a&~b)+6*~(a|b)+6*~(a|~b))
-1*y+(~((13*(a&b)+2*(a&~b)-1*~(a&~a)-11*~(a&~b)+12*~(a|b)+12*~(a|~b))&~(13*(a&b)+2*(a&~b)-1*~(a&~a)-11*~(a&~b)+12*~(a|b)+12*~(a|~b))))+((13*(a&b)+2*(a&~b)-1*~(a&~a)-11*~(a&~b)+12*~(a|b)+12*~(a|~b))|y)+2*(~((13*(a&b)+2*(a&~b)-1*~(a&~a)-11*~(a&~b)+12*~(a|b)+12*~(a|~b))&~y))+((13*(a&b)+2*(a&~b)-1*~(a&~a)-11*~(a&~b)+12*~(a|b)+12*~(a|~b))|~y)+(13*(a&b)+2*(a&~b)-1*~(a&~a)-11*~(a&~b)+12*~(a|b)+12*~(a|~b))-1*((13*(a&b)+2*(a&~b)-1*~(a&~a)-11*~(a&~b)+12*~(a|b)+12*~(a|~b))^y)-1*(~((13*(a&b)+2*(a&~b)-1*~(a&~a)-11*~(a&~b)+12*~(a|b)+12*~(a|~b))&y))-4*(~((13*(a&b)+2*(a&~b)-1*~(a&~a)-11*~(a&~b)+12*~(a|b)+12*~(a|~b))|y))-1*(~((13*(a&b)+2*(a&~b)-1*~(a&~a)-11*~(a&~b)+12*~(a|b)+12*~(a|~b))|~y))-3*((13*(a&b)+2*(a&~b)-1*~(a&~a)-11*~(a&~b)+12*~(a|b)+12*~(a|~b))&~y)-5*((13*(a&b)+2*(a&~b)-1*~(a&~a)-11*~(a&~b)+12*~(a|b)+12*~(a|~b))&y),-~y,(13*(a&b)+2*(a&~b)-1*~(a&~a)-11*~(a&~b)+12*~(a|b)+12*~(a|~b))
-1*x+(~(x&~x))-2*(-1*(a&b)-1*(a&~b)+1*(a|b)+1*~(a&~b)-1*~(a|b)-1*~(a|~b))-4*(~(x^(-1*(a&b)-1*(a&~b)+1*(a|b)+1*~(a&~b)-1*~(a|b)-1*~(a|~b))))+2*(~(x&(-1*(a&b)-1*(a&~b)+1*(a|b)+1*~(a&~b)-1*~(a|b)-1*~(a|~b))))-1*(~(x&~(-1*(a&b)-1*(a&~b)+1*(a|b)+1*~(a&~b)-1*~(a|b)-1*~(a|~b))))+(x|~(-1*(a&b)-1*(a&~b)+1*(a|b)+1*~(a&~b)-1*~(a|b)-1*~(a|~b)))+2*~x-1*(x^(-1*(a&b)-1*(a&~b)+1*(a|b)+1*~(a&~b)-1*~(a|b)-1*~(a|~b)))-1*(~(x|(-1*(a&b)-1*(a&~b)+1*(a|b)+1*~(a&~b)-1*~(a|b)-1*~(a|~b))))-1*(x&~(-1*(a&b)-1*(a&~b)+1*(a|b)+1*~(a&~b)-1*~(a|b)-1*~(a|~b)))+7*(x&(-1*(a&b)-1*(a&~b)+1*(a|b)+1*~(a&~b)-1*~(a|b)-1*~(a|~b))),1*(x|b),(-1*(a&b)-1*(a&~b)+1*(a|b)+1*~(a&~b)-1*~(a|b)-1*~(a|~b))
-1*y-1*((1*(a&b)+8*(a&~b)-7*(a^b)+2*~(a|b)+9*~(a|~b)-2*~a)^y)-1*((1*(a&b)+8*(a&~b)-7*(a^b)+2*~(a|b)+9*~(a|~b)-2*~a)|~y)+(~((1*(a&b)+8*(a&~b)-7*(a^b)+2*~(a|b)+9*~(a|~b)-2*~a)&y))-2*~(1*(a&b)+8*(a&~b)-7*(a^b)+2*~(a|b)+9*~(a|~b)-2*~a)-1*(1*(a&b)+8*(a&~b)-7*(a^b)+2*~(a|b)+9*~(a|~b)-2*~a)+((1*(a&b)+8*(a&~b)-7*(a^b)+2*~(a|b)+9*~(a|~b)-2*~a)|y)+~y-2*(~((1*(a&b)+8*(a&~b)-7*(a^b)+2*~(a|b)+9*~(a|~b)-2*~a)&~y))+4*(~((1*(a&b)+8*(a&~b)-7*(a^b)+2*~(a|b)+9*~(a|~b)-2*~a)|y))+4*(~((1*(a&b)+8*(a&~b)-7*(a^b)+2*~(a|b)+9*~(a|~b)-2*~a)|~y))+5*((1*(a&b)+8*(a&~b)-7*(a^b)+2*~(a|b)+9*~(a|~b)-2*~a)&y),1*(~(a^y)),(1*(a&b)+8*(a&~b)-7*(a^b)+2*~(a|b)+9*~(a|~b)-2*~a)
-1*~(1*(a&b)-2*~(a&~b)+2*~(a^b)+3*~(a|~b))+(1*(a&b)-2*~(a&~b)+2*~(a^b)+3*~(a|~b))+(~(x^(1*(a&b)-2*~(a&~b)+2*~(a^b)+3*~(a|~b))))-1*(~(x&~x))+x+2*~x+2*(~(x&(1*(a&b)-2*~(a&~b)+2*~(a^b)+3*~(a|~b))))+2*(~(x&~(1*(a&b)-2*~(a&~b)+2*~(a^b)+3*~(a|~b))))+(x|(1*(a&b)-2*~(a&~b)+2*~(a^b)+3*~(a|~b)))-5*(~(x|(1*(a&b)-2*~(a&~b)+2*~(a^b)+3*~(a|~b))))-8*(~(x|~(1*(a&b)-2*~(a&~b)+2*~(a^b)+3*~(a|~b))))-3*(x&~(1*(a&b)-2*~(a&~b)+2*~(a^b)+3*~(a|~b)))-5*(x&(1*(a&b)-2*~(a&~b)+2*~(a^b)+3*~(a|~b))),-(x^b),(1*(a&b)-2*~(a&~b)+2*~(a^b)+3*~(a|~b))
((-4*(a&b)-3*(a&~b)+5*(a|~b)-4*~(a|b)-1*~b)|~y)+~(-4*(a&b)-3*(a&~b)+5*(a|~b)-4*~(a|b)-1*~b)+(~((-4*(a&b)-3*(a&~b)+5*(a|~b)-4*~(a|b)-1*~b)&~(-4*(a&b)-3*(a&~b)+5*(a|~b)-4*~(a|b)-1*~b)))+(-4*(a&b)-3*(a&~b)+5*(a|~b)-4*~(a|b)-1*~b)-1*y-2*(~((-4*(a&b)-3*(a&~b)+5*(a|~b)-4*~(a|b)-1*~b)^y))-1*((-4*(a&b)-3*(a&~b)+5*(a|~b)-4*~(a|b)-1*~b)^y)+(~((-4*(a&b)-3*(a&~b)+5*(a|~b)-4*~(a|b)-1*~b)&~y))-1*(~((-4*(a&b)-3*(a&~b)+5*(a|~b)-4*~(a|b)-1*~b)|y))-1*(~((-4*(a&b)-3*(a&~b)+5*(a|~b)-4*~(a|b)-1*~b)|~y))-1*((-4*(a&b)-3*(a&~b)+5*(a|~b)-4*~(a|b)-1*~b)&~y)-1*((-4*(a&b)-3*(a&~b)+5*(a|~b)-4*~(a|b)-1*~b)&y),1*~y,(-4*(a&b)-3*(a&~b)+5*(a|~b)-4*~(a|b)-1*~b)
2*(8*(a&b)+7*(a&~b)-7*a-2*~(a|b)-1*~(a|~b)+2*~a)+~(8*(a&b)+7*(a&~b)-7*a-2*~(a|b)-1*~(a|~b)+2*~a)+(x^(8*(a&b)+7*(a&~b)-7*a-2*~(a|b)-1*~(a|~b)+2*~a))-1*(~(x&~x))-1*~x+(x|~(8*(a&b)+7*(a&~b)-7*a-2*~(a|b)-1*~(a|~b)+2*~a))+(~(x&(8*(a&b)+7*(a&~b)-7*a-2*~(a|b)-1*~(a|~b)+2*~a)))+(x|(8*(a&b)+7*(a&~b)-7*a-2*~(a|b)-1*~(a|~b)+2*~a))-2*(~(x|(8*(a&b)+7*(a&~b)-7*a-2*~(a|b)-1*~(a|~b)+2*~a)))-3*(~(x|~(8*(a&b)+7*(a&~b)-7*a-2*~(a|b)-1*~(a|~b)+2*~a)))-4*(x&~(8*(a&b)+7*(a&~b)-7*a-2*~(a|b)-1*~(a|~b)+2*~a))-4*(x&(8*(a&b)+7*(a&~b)-7*a-2*~(a|b)-1*~(a|~b)+2*~a)),-(~(x^b)),(8*(a&b)+7*(a&~b)-7*a-2*~(a|b)-1*~(a|~b)+2*~a)
(~((-5*(a&b)-5*(a&~b)+1*(a|b)+5*~(a&~a)-5*~(a|b)-6*~(a|~b))&y))+((-5*(a&b)-5*(a&~b)+1*(a|b)+5*~(a&~a)-5*~(a|b)-6*~(a|~b))^y)-1*y+(-5*(a&b)-5*(a&~b)+1*(a|b)+5*~(a&~a)-5*~(a|b)-6*~(a|~b))-2*((-5*(a&b)-5*(a&~b)+1*(a|b)+5*~(a&~a)-5*~(a|b)-6*~(a|~b))|~y)+2*(~((-5*(a&b)-5*(a&~b)+1*(a|b)+5*~(a&~a)-5*~(a|b)-6*~(a|~b))&~y))+~y-1*(~((-5*(a&b)-5*(a&~b)+1*(a|b)+5*~(a&~a)-5*~(a|b)-6*~(a|~b))^y))-1*(~((-5*(a&b)-5*(a&~b)+1*(a|b)+5*~(a&~a)-5*~(a|b)-6*~(a|~b))|y))-4*(~((-5*(a&b)-5*(a&~b)+1*(a|b)+5*~(a&~a)-5*~(a|b)-6*~(a|~b))|~y))-3*((-5*(a&b)-5*(a&~b)+1*(a|b)+5*~(a&~a)-5*~(a|b)-6*~(a|~b))&~y),-(a|y),(-5*(a&b)-5*(a&~b)+1*(a|b)+5*~(a&~a)-5*~(a|b)-6*~(a|~b))
2*(x^(1*(a&b)+2*(a&~b)-3*(a^b)-1*~(a|b)+4*~(a|~b)+1*~b))-2*x+(~(x&(1*(a&b)+2*(a&~b)-3*(a^b)-1*~(a|b)+4*~(a|~b)+1*~b)))+3*(~(x|(1*(a&b)+2*(a&~b)-3*(a^b)-1*~(a|b)+4*~(a|~b)+1*~b)))-4*(~(x|~(1*(a&b)+2*(a&~b)-3*(a^b)-1*~(a|b)+4*~(a|~b)+1*~b)))+4*(x&~(1*(a&b)+2*(a&~b)-3*(a^b)-1*~(a|b)+4*~(a|~b)+1*~b))+7*(x&(1*(a&b)+2*(a&~b)-3*(a^b)-1*~(a|b)+4*~(a|~b)+1*~b)),-~x+5*(x|~b),(1*(a&b)+2*(a&~b)-3*(a^b)-1*~(a|b)+4*~(a|~b)+1*~b)
-1*(-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))-1*(~((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))&y))+2*((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))^y)+2*(~((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))&~y))-1*(~((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))^y))-1*y-2*((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))|~y)+((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))|y)+6*(~((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))|y))-4*(~((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))|~y))+5*((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))&~y)+1*((-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))&y),5*~y-(~(a&~a)),(-11*(a&b)-10*(a&~b)+11*(a|~b)+1*~(a^b)-12*~(a|b))
(x^(-2*(a&b)-3*(a&~b)+3*(a|~b)-4*~(a|b)+1*~a))-1*(x|(-2*(a&b)-3*(a&~b)+3*(a|~b)-4*~(a|b)+1*~a))+(~(x^(-2*(a&b)-3*(a&~b)+3*(a|~b)-4*~(a|b)+1*~a)))-1*~x+(~(x&~(-2*(a&b)-3*(a&~b)+3*(a|~b)-4*~(a|b)+1*~a)))+2*(-2*(a&b)-3*(a&~b)+3*(a|~b)-4*~(a|b)+1*~a)-2*(x|~(-2*(a&b)-3*(a&~b)+3*(a|~b)-4*~(a|b)+1*~a))-3*(~(x|~(-2*(a&b)-3*(a&~b)+3*(a|~b)-4*~(a|b)+1*~a)))+1*(x&~(-2*(a&b)-3*(a&~b)+3*(a|~b)-4*~(a|b)+1*~a))-2*(x&(-2*(a&b)-3*(a&~b)+3*(a|~b)-4*~(a|b)+1*~a)),-(~(x&~x)),(-2*(a&b)-3*(a&~b)+3*(a|~b)-4*~(a|b)+1*~a)
((5*(a&b)+3*(a&~b)-2*(a|b)-2*~(a&~b)+2*~(a|b)+4*~(a|~b))|~y)+(~((5*(a&b)+3*(a&~b)-2*(a|b)-2*~(a&~b)+2*~(a|b)+4*~(a|~b))^y))-1*~(5*(a&b)+3*(a&~b)-2*(a|b)-2*~(a&~b)+2*~(a|b)+4*~(a|~b))-2*(~((5*(a&b)+3*(a&~b)-2*(a|b)-2*~(a&~b)+2*~(a|b)+4*~(a|~b))|y))-2*((5*(a&b)+3*(a&~b)-2*(a|b)-2*~(a&~b)+2*~(a|b)+4*~(a|~b))&~y)-3*((5*(a&b)+3*(a&~b)-2*(a|b)-2*~(a&~b)+2*~(a|b)+4*~(a|~b))&y),-~y-y,(5*(a&b)+3*(a&~b)-2*(a|b)-2*~(a&~b)+2*~(a|b)+4*~(a|~b))
x-1*(~(x&~x))+2*(~(x^(10*(a&b)+11*(a&~b)-11*(a|~b)+2*~(a&~b)+9*~(a|b)-1*~(a|~b))))+(~(x&(10*(a&b)+11*(a&~b)-11*(a|~b)+2*~(a&~b)+9*~(a|b)-1*~(a|~b))))-1*(x^(10*(a&b)+11*(a&~b)-11*(a|~b)+2*~(a&~b)+9*~(a|b)-1*~(a|~b)))-2*(x|~(10*(a&b)+11*(a&~b)-11*(a|~b)+2*~(a&~b)+9*~(a|b)-1*~(a|~b)))-1*~x-1*(~(x&~(10*(a&b)+11*(a&~b)-11*(a|~b)+2*~(a&~b)+9*~(a|b)-1*~(a|~b))))+3*(~(x|(10*(a&b)+11*(a&~b)-11*(a|~b)+2*~(a&~b)+9*~(a|b)-1*~(a|~b))))+3*(~(x|~(10*(a&b)+11*(a&~b)-11*(a|~b)+2*~(a&~b)+9*~(a|b)-1*~(a|~b))))+3*(x&~(10*(a&b)+11*(a&~b)-11*(a|~b)+2*~(a&~b)+9*~(a|b)-1*~(a|~b)))+1*(x&(10*(a&b)+11*(a&~b)-11*(a|~b)+2*~(a&~b)+9*~(a|b)-1*~(a|~b))),1*~b,(10*(a&b)+11*(a&~b)-11*(a|~b)+2*~(a&~b)+9*~(a|b)-1*~(a|~b))
-1*((1*(a&~b)-1*~(a&~b)+2*~(a^b)-1*~(a|b)+1*~(a|~b))|y)+(~((1*(a&~b)-1*~(a&~b)+2*~(a^b)-1*~(a|b)+1*~(a|~b))^y))-2*(~((1*(a&~b)-1*~(a&~b)+2*~(a^b)-1*~(a|b)+1*~(a|~b))&~y))+(1*(a&~b)-1*~(a&~b)+2*~(a^b)-1*~(a|b)+1*~(a|~b))+5*y+~y+3*(~((1*(a&~b)-1*~(a&~b)+2*~(a^b)-1*~(a|b)+1*~(a|~b))|y))+2*(~((1*(a&~b)-1*~(a&~b)+2*~(a^b)-1*~(a|b)+1*~(a|~b))|~y))-4*((1*(a&~b)-1*~(a&~b)+2*~(a^b)-1*~(a|b)+1*~(a|~b))&y),1*(a^y)+3*~a,(1*(a&~b)-1*~(a&~b)+2*~(a^b)-1*~(a|b)+1*~(a|~b))
~(10*(a&b)+9*(a&~b)-7*(a|~b)-2*~(a&~a)+9*~(a|b)+3*~(a|~b))-1*(10*(a&b)+9*(a&~b)-7*(a|~b)-2*~(a&~a)+9*~(a|b)+3*~(a|~b))+2*x-1*(x|~(10*(a&b)+9*(a&~b)-7*(a|~b)-2*~(a&~a)+9*~(a|b)+3*~(a|~b)))-1*(~(x&(10*(a&b)+9*(a&~b)-7*(a|~b)-2*~(a&~a)+9*~(a|b)+3*~(a|~b))))+(~(x&~x))+~x-1*(~(x^(10*(a&b)+9*(a&~b)-7*(a|~b)-2*~(a&~a)+9*~(a|b)+3*~(a|~b))))-2*(x&~(10*(a&b)+9*(a&~b)-7*(a|~b)-2*~(a&~a)+9*~(a|b)+3*~(a|~b)))-1*(x&(10*(a&b)+9*(a&~b)-7*(a|~b)-2*~(a&~a)+9*~(a|b)+3*~(a|~b))),1*(x^b)-(x|b),(10*(a&b)+9*(a&~b)-7*(a|~b)-2*~(a&~a)+9*~(a|b)+3*~(a|~b))
-1*(~((-6*(a&b)-6*(a&~b)+2*(a|~b)+5*a-2*~(a|b))&y))+((-6*(a&b)-6*(a&~b)+2*(a|~b)+5*a-2*~(a|b))|y)-1*(~((-6*(a&b)-6*(a&~b)+2*(a|~b)+5*a-2*~(a|b))&~y))-1*(-6*(a&b)-6*(a&~b)+2*(a|~b)+5*a-2*~(a|b))-2*y+~y+3*(~((-6*(a&b)-6*(a&~b)+2*(a|~b)+5*a-2*~(a|b))|~y))-1*((-6*(a&b)-6*(a&~b)+2*(a|~b)+5*a-2*~(a|b))&~y)+2*((-6*(a&b)-6*(a&~b)+2*(a|~b)+5*a-2*~(a|b))&y),-(a|~y),(-6*(a&b)-6*(a&~b)+2*(a|~b)+5*a-2*~(a|b))
-2*(x|(6*(a&b)-1*(a&~b)+1*~(a&b)-5*~(a&~b)+4*~(a|b)+5*~(a|~b)))-1*(~(x^(6*(a&b)-1*(a&~b)+1*~(a&b)-5*~(a&~b)+4*~(a|b)+5*~(a|~b))))+(6*(a&b)-1*(a&~b)+1*~(a&b)-5*~(a&~b)+4*~(a|b)+5*~(a|~b))+(~(x&~x))+(~(x&~(6*(a&b)-1*(a&~b)+1*~(a&b)-5*~(a&~b)+4*~(a|b)+5*~(a|~b))))+~x+2*(x^(6*(a&b)-1*(a&~b)+1*~(a&b)-5*~(a&~b)+4*~(a|b)+5*~(a|~b)))-2*x-2*(~(x|(6*(a&b)-1*(a&~b)+1*~(a&b)-5*~(a&~b)+4*~(a|b)+5*~(a|~b))))-5*(~(x|~(6*(a&b)-1*(a&~b)+1*~(a&b)-5*~(a&~b)+4*~(a|b)+5*~(a|~b))))+1*(x&~(6*(a&b)-1*(a&~b)+1*~(a&b)-5*~(a&~b)+4*~(a|b)+5*~(a|~b)))+3*(x&(6*(a&b)-1*(a&~b)+1*~(a&b)-5*~(a&~b)+4*~(a|b)+5*~(a|~b))),-(~(x&b))+1*(x|~b),(6*(a&b)-1*(a&~b)+1*~(a&b)-5*~(a&~b)+4*~(a|b)+5*~(a|~b))
~(-1*(a&b)+2*(a&~b)-1*~(a&b)+2*~(a^b)-1*~(a|b)+1*~(a|~b))-1*~y-1*((-1*(a&b)+2*(a&~b)-1*~(a&b)+2*~(a^b)-1*~(a|b)+1*~(a|~b))^y)+((-1*(a&b)+2*(a&~b)-1*~(a&b)+2*~(a^b)-1*~(a|b)+1*~(a|~b))|~y)-1*(~((-1*(a&b)+2*(a&~b)-1*~(a&b)+2*~(a^b)-1*~(a|b)+1*~(a|~b))&~y))-1*(~((-1*(a&b)+2*(a&~b)-1*~(a&b)+2*~(a^b)-1*~(a|b)+1*~(a|~b))&~(-1*(a&b)+2*(a&~b)-1*~(a&b)+2*~(a^b)-1*~(a|b)+1*~(a|~b))))-1*((-1*(a&b)+2*(a&~b)-1*~(a&b)+2*~(a^b)-1*~(a|b)+1*~(a|~b))|y)+2*(~((-1*(a&b)+2*(a&~b)-1*~(a&b)+2*~(a^b)-1*~(a|b)+1*~(a|~b))&y))-2*(~((-1*(a&b)+2*(a&~b)-1*~(a&b)+2*~(a^b)-1*~(a|b)+1*~(a|~b))|y))+1*(~((-1*(a&b)+2*(a&~b)-1*~(a&b)+2*~(a^b)-1*~(a|b)+1*~(a|~b))|~y))+1*((-1*(a&b)+2*(a&~b)-1*~(a&b)+2*~(a^b)-1*~(a|b)+1*~(a|~b))&~y)+1*((-1*(a&b)+2*(a&~b)-1*~(a&b)+2*~(a^b)-1*~(a|b)+1*~(a|~b))&y),-(~(a^y)),(-1*(a&b)+2*(a&~b)-1*~(a&b)+2*~(a^b)-1*~(a|b)+1*~(a|~b))
-5*~(-4*(a&b)-9*(a&~b)+5*a+4*~(a&b)-4*~(a|b)-3*~(a|~b))-4*(~(x&~(-4*(a&b)-9*(a&~b)+5*a+4*~(a&b)-4*~(a|b)-3*~(a|~b))))-1*(~(x^(-4*(a&b)-9*(a&~b)+5*a+4*~(a&b)-4*~(a|b)-3*~(a|~b))))-1*(~(x&~x))-2*(~(x&(-4*(a&b)-9*(a&~b)+5*a+4*~(a&b)-4*~(a|b)-3*~(a|~b))))+x+~x+12*(~(x|(-4*(a&b)-9*(a&~b)+5*a+4*~(a&b)-4*~(a|b)-3*~(a|~b))))+5*(~(x|~(-4*(a&b)-9*(a&~b)+5*a+4*~(a&b)-4*~(a|b)-3*~(a|~b))))+6*(x&~(-4*(a&b)-9*(a&~b)+5*a+4*~(a&b)-4*~(a|b)-3*~(a|~b)))+4*(x&(-4*(a&b)-9*(a&~b)+5*a+4*~(a&b)-4*~(a|b)-3*~(a|~b))),-(x|b),(-4*(a&b)-9*(a&~b)+5*a+4*~(a&b)-4*~(a|b)-3*~(a|~b))
2*(~((2*(a&b)-1*(a&~b)-1*b+2*~(a&b)-2*~(a|b)-1*~(a|~b))&y))+y+(~((2*(a&b)-1*(a&~b)-1*b+2*~(a&b)-2*~(a|b)-1*~(a|~b))&~(2*(a&b)-1*(a&~b)-1*b+2*~(a&b)-2*~(a|b)-1*~(a|~b))))+((2*(a&b)-1*(a&~b)-1*b+2*~(a&b)-2*~(a|b)-1*~(a|~b))|~y)-1*(~((2*(a&b)-1*(a&~b)-1*b+2*~(a&b)-2*~(a|b)-1*~(a|~b))^y))-2*~y-1*(~((2*(a&b)-1*(a&~b)-1*b+2*~(a&b)-2*~(a|b)-1*~(a|~b))|y))-5*(~((2*(a&b)-1*(a&~b)-1*b+2*~(a&b)-2*~(a|b)-1*~(a|~b))|~y))-3*((2*(a&b)-1*(a&~b)-1*b+2*~(a&b)-2*~(a|b)-1*~(a|~b))&~y)-3*((2*(a&b)-1*(a&~b)-1*b+2*~(a&b)-2*~(a|b)-1*~(a|~b))&y),-(a|y),(2*(a&b)-1*(a&~b)-1*b+2*~(a&b)-2*~(a|b)-1*~(a|~b))
